discoverymethod,disc_year,pl_rade,pl_masse,pl_orbper,pl_dens,pl_orbeccen
Transit,2016,1.39,,14.37517,,0.0
Transit,2014,3.027,,,,
Transit,2014,1.26,,10.104648,,0.0
Transit,2013,,,15.72589064,,
Transit,2014,2.29,,3.162691238,,0.0
Transit,2012,1.6,3.9,11.899,6.0,
Transit,2014,2.26,,6.400147394,,0.0
Radial Velocity,2009,,,464.4,,0.119
Transit,2010,12.78,,3.905081685,,0.0
Transit,2013,1.43,,267.282521,,0.0
Transit,2016,2.57,,8.222419656,,
Transit,2021,2.45,,23.783247,,0.0
Transit,2022,11.14172682,218.98377242,2.15484802,0.871,0.047
Transit,2016,,,0.927859786,,
Transit,2016,,,51.13163246,,
Transit,2016,,,0.6630865124,,
Transit,2014,,,19.7243672,,
Transit,2014,,,5.68799383,,
Transit,2016,1.47,,5.72812599,,
Transit,2016,,,5.378868001,,
Transit,2014,2.682,,14.9702081,,
Microlensing,2022,,63.5656814,,,
Transit,2016,,,61.0373591,,
Radial Velocity,2010,,,1920.1,,0.23
Transit,2014,,,27.6666375,,
Transit,2014,2.63,,77.4740991,,0.0
Transit,2016,,,4.1395268065,,
Transit,2011,9.75484809,,6.79009811134,,
Radial Velocity,2004,,,43.93,,0.44
Transit,2021,3.59,,59.6585348,,0.0
Transit,2008,16.42116,1051.973,1.7429964,,0.0
Transit,2020,,,56.4148314,,
Transit,2016,2.55,,11.01816836,,
Transit,2014,2.1,,3.388011854,,
Transit,2013,,,13.7488298257,,
Radial Velocity,2017,,,214.67,,0.036
Transit,2016,,,1.82708193,,
Transit,2014,3.642,,19.74732846,,
Transit,2016,2.53,,153.979362,,0.0
Transit,2016,2.57,,4.182002531,,0.0
Transit,2021,,,15.3317719,,
Transit,2017,19.514869,1074.90106,3.4741085,0.806,
Transit,2014,2.05,,9.693201,,
Transit,2022,2.68297219,,1.15890129424,,
Transit,2016,2.23,,23.9210791,,0.0
Transit,2014,1.492,,,,
Transit,2016,2.02,,21.41616926,,0.0
Radial Velocity,2002,,,422.0,,0.31
Transit,2016,2.447,,,,
Transit,2012,,,1.36002869,,
Transit,2016,,,5.322012,,
Transit,2014,,,12.13070414,,
Microlensing,2024,,38.77506565,,,
Transit,2014,2.404,,8.18086953,,
Transit,2014,1.28,,6.414914,,
Transit,2016,3.53,,7.256962446,,0.0
Transit,2021,2.244,,3.215106337,,
Transit,2016,5.41,,12.2064304,,0.0
Radial Velocity,2001,,,385.9,,0.092
Transit,2016,,,17.2763008492,,
Transit,2014,1.91,,19.023152,,0.0
Transit,2016,2.57,,6.53192704,,0.0
Transit,2012,1.68,7.4,11.609,,
Transit,2016,2.04,,22.2420032,,0.0
Transit,2013,2.43,,,,
Transit,2014,,,6.252962249,,
Transit,2014,,,20.05018325,,
Transit,2014,,,20.7398916559,,
Transit,2016,3.62,,8.981016833,,
Transit,2024,2.30381001,30.0,23.540678,14.0,0.0
Transit,2021,3.26437302,,10.27530003,,
Transit,2017,10.53646,38.1396,5.72149,0.19,0.0
Transit,2023,6.06,34.62,3.738252,0.86,0.089
Transit,2016,1.91,,15.18701,,0.0
Transit,2023,1.17,,5.053618,,0.0
Transit,2021,2.45,,23.783247,,0.0
Transit,2011,4.51,,12.720374354,,0.0
Transit,2009,13.719816,153.51189,3.36100239,0.326,0.07
Transit,2016,2.33,,17.671796,,0.0
Transit,2014,,,16.2596374,,
Transit,2019,11.21102312,,4.4352884,,
Transit,2016,,,20.7057153,,
Transit,2016,1.59,,3.932461302,,
Transit,2022,,,14.443,,
